DevEUI,Name,NwkKey,JoinEUI
a04e8a251d8662d4,fleet-device-000,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662d5,fleet-device-001,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662d6,fleet-device-002,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662d7,fleet-device-003,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662d8,fleet-device-004,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662d9,fleet-device-005,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662da,fleet-device-006,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662db,fleet-device-007,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662dc,fleet-device-008,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662dd,fleet-device-009,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662de,fleet-device-010,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662df,fleet-device-011,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662e0,fleet-device-012,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662e1,fleet-device-013,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662e2,fleet-device-014,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662e3,fleet-device-015,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662e4,fleet-device-016,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662e5,fleet-device-017,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662e6,fleet-device-018,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662e7,fleet-device-019,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662e8,fleet-device-020,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662e9,fleet-device-021,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662ea,fleet-device-022,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662eb,fleet-device-023,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662ec,fleet-device-024,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662ed,fleet-device-025,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662ee,fleet-device-026,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662ef,fleet-device-027,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662f0,fleet-device-028,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662f1,fleet-device-029,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662f2,fleet-device-030,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662f3,fleet-device-031,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662f4,fleet-device-032,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662f5,fleet-device-033,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662f6,fleet-device-034,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662f7,fleet-device-035,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662f8,fleet-device-036,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662f9,fleet-device-037,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662fa,fleet-device-038,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662fb,fleet-device-039,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662fc,fleet-device-040,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662fd,fleet-device-041,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662fe,fleet-device-042,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d8662ff,fleet-device-043,612e488816a88a28888659bce9e414fe,0000000000000000
