elapsed_s,timestamp,gateway_id,cpu_pct,cpu_user,cpu_sys,cpu_iowait,mem_total_mb,mem_used_mb,mem_free_mb,mem_used_pct,load_1,load_5,load_15,net_rx_bytes,net_tx_bytes,net_rx_delta,net_tx_delta,cs_cpu_pct,cs_mem_mb,pf_cpu_pct,pf_mem_mb,rx_total,tx_total,rx_delta,tx_delta,rx_crc_ok,rx_crc_error,rx_crc_none,crc_error_rate_pct,rx_dr0,rx_dr1,rx_dr2,rx_dr3,rx_dr4,rx_dr5
0.0,2026-05-17T15:55:12,0016c001f10c2ef6,,,,,7809,699,7110,9.0,0.33,0.36,0.38,387406126,1971057093,,,1.2,234.0,3.1,2.0,176,113,,,0,0,0,0.0,0,0,0,0,0,0
0.5,2026-05-17T15:55:13,0016c001f10c2ef6,5.0,1.7,3.3,0.0,7809,700,7109,9.0,0.33,0.36,0.38,387409416,1971068890,3290,11797,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
0.9,2026-05-17T15:55:13,0016c001f10c2ef6,6.2,2.2,3.9,0.0,7809,701,7108,9.0,0.33,0.36,0.38,387412658,1971080687,3242,11797,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
1.3,2026-05-17T15:55:14,0016c001f10c2ef6,5.8,2.3,3.5,0.0,7809,701,7108,9.0,0.33,0.36,0.38,387415696,1971092484,3038,11797,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
1.8,2026-05-17T15:55:15,0016c001f10c2ef6,7.1,2.2,4.9,0.0,7809,701,7108,9.0,0.33,0.36,0.38,387418986,1971104281,3290,11797,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
2.3,2026-05-17T15:55:15,0016c001f10c2ef6,8.6,2.5,6.1,0.0,7809,702,7107,9.0,0.33,0.36,0.38,387422044,1971116222,3058,11941,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
2.7,2026-05-17T15:55:16,0016c001f10c2ef6,6.0,2.4,3.6,0.0,7809,702,7107,9.0,0.33,0.36,0.38,387425078,1971128019,3034,11797,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
3.1,2026-05-17T15:55:16,0016c001f10c2ef6,7.5,2.9,4.6,0.0,7809,702,7107,9.0,0.33,0.36,0.38,387428112,1971139816,3034,11797,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
3.6,2026-05-17T15:55:17,0016c001f10c2ef6,4.7,2.6,2.1,0.0,7809,701,7108,9.0,0.3,0.36,0.38,387431302,1971152296,3190,12480,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
4.0,2026-05-17T15:55:17,0016c001f10c2ef6,6.8,4.0,2.8,0.0,7809,702,7107,9.0,0.3,0.36,0.38,387434336,1971164093,3034,11797,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
4.5,2026-05-17T15:55:18,0016c001f10c2ef6,8.6,4.0,4.6,0.0,7809,702,7107,9.0,0.3,0.36,0.38,387437636,1971177714,3300,13621,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
4.9,2026-05-17T15:55:18,0016c001f10c2ef6,6.0,1.6,4.4,0.0,7809,702,7107,9.0,0.3,0.36,0.38,387440978,1971189511,3342,11797,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
5.4,2026-05-17T15:55:18,0016c001f10c2ef6,5.2,1.6,3.7,0.0,7809,703,7106,9.0,0.3,0.36,0.38,387444549,1971201308,3571,11797,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
5.8,2026-05-17T15:55:19,0016c001f10c2ef6,8.9,3.3,5.0,0.6,7809,701,7108,9.0,0.3,0.36,0.38,387447739,1971213788,3190,12480,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
6.2,2026-05-17T15:55:19,0016c001f10c2ef6,6.7,2.8,3.9,0.0,7809,702,7107,9.0,0.3,0.36,0.38,387451029,1971225585,3290,11797,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
6.7,2026-05-17T15:55:20,0016c001f10c2ef6,6.9,2.3,4.6,0.0,7809,701,7108,9.0,0.3,0.36,0.38,387454113,1971238944,3084,13359,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
7.1,2026-05-17T15:55:20,0016c001f10c2ef6,5.7,2.3,3.4,0.0,7809,702,7107,9.0,0.3,0.36,0.38,387457475,1971250827,3362,11883,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
7.6,2026-05-17T15:55:21,0016c001f10c2ef6,10.1,4.0,6.1,0.0,7809,704,7105,9.0,0.3,0.36,0.38,387460717,1971262690,3242,11863,1.2,234.0,3.1,2.0,176,113,0,0,0,0,0,0.0,0,0,0,0,0,0
8.1,2026-05-17T15:55:21,0016c001f10c2ef6,9.5,4.0,5.5,0.0,7809,703,7106,9.0,0.3,0.36,0.38,387463703,1971274553,2986,11863,1.2,234.0,3.1,2.0,181,118,5,5,0,0,0,0.0,0,0,0,0,0,0
8.5,2026-05-17T15:55:22,0016c001f10c2ef6,15.0,3.5,11.6,0.0,7809,703,7106,9.0,0.36,0.37,0.38,387466737,1971286350,3034,11797,1.2,234.0,3.1,2.0,181,118,0,0,0,0,0,0.0,0,0,0,0,0,0
8.9,2026-05-17T15:55:22,0016c001f10c2ef6,20.5,2.3,18.1,0.0,7809,702,7107,9.0,0.36,0.37,0.38,387469875,1971298163,3138,11813,1.2,234.0,3.1,2.0,181,118,0,0,0,0,0,0.0,0,0,0,0,0,0
9.4,2026-05-17T15:55:22,0016c001f10c2ef6,18.6,1.7,16.9,0.0,7809,702,7107,9.0,0.36,0.37,0.38,387472961,1971309960,3086,11797,1.2,234.0,3.1,2.0,181,118,0,0,0,0,0,0.0,0,0,0,0,0,0
9.8,2026-05-17T15:55:23,0016c001f10c2ef6,18.8,2.9,15.9,0.0,7809,701,7108,9.0,0.36,0.37,0.38,387476095,1971321757,3134,11797,1.2,234.0,3.1,2.0,181,118,0,0,0,0,0,0.0,0,0,0,0,0,0
