elapsed_s,timestamp,gateway_id,cpu_pct,cpu_user,cpu_sys,cpu_iowait,mem_total_mb,mem_used_mb,mem_free_mb,mem_used_pct,load_1,load_5,load_15,net_rx_bytes,net_tx_bytes,net_rx_delta,net_tx_delta,cs_cpu_pct,cs_mem_mb,pf_cpu_pct,pf_mem_mb,rx_total,tx_total,rx_delta,tx_delta,rx_crc_ok,rx_crc_error,rx_crc_none,crc_error_rate_pct,rx_dr0,rx_dr1,rx_dr2,rx_dr3,rx_dr4,rx_dr5
0.0,2026-05-16T18:17:22,0016c001f10c2ef6,,,,,7809,699,7110,9.0,0.18,0.29,0.42,313687267,1264307428,,,1.3,234.2,3.1,2.0,25,12,,,0,0,0,0.0,0,0,0,0,0,0
0.6,2026-05-16T18:17:22,0016c001f10c2ef6,9.5,4.1,5.4,0.0,7809,699,7110,9.0,0.18,0.29,0.42,313690253,1264319085,2986,11657,1.3,234.2,3.1,2.0,25,12,0,0,0,0,0,0.0,0,0,0,0,0,0
1.1,2026-05-16T18:17:22,0016c001f10c2ef6,6.0,2.2,3.8,0.0,7809,699,7110,9.0,0.18,0.29,0.42,313693387,1264330676,3134,11591,1.3,234.2,3.1,2.0,25,12,0,0,0,0,0,0.0,0,0,0,0,0,0
1.6,2026-05-16T18:17:23,0016c001f10c2ef6,5.8,2.9,2.9,0.0,7809,699,7110,9.0,0.18,0.29,0.42,313696477,1264342267,3090,11591,1.3,234.2,3.1,2.0,25,12,0,0,0,0,0,0.0,0,0,0,0,0,0
2.1,2026-05-16T18:17:23,0016c001f10c2ef6,7.1,3.0,4.2,0.0,7809,701,7108,9.0,0.18,0.29,0.42,313700644,1264384617,4167,42350,1.3,234.2,3.1,2.0,25,12,0,0,0,0,0,0.0,0,0,0,0,0,0
2.6,2026-05-16T18:17:24,0016c001f10c2ef6,6.5,2.4,4.1,0.0,7809,700,7109,9.0,0.18,0.29,0.42,313703834,1264396208,3190,11591,1.3,234.2,3.1,2.0,25,12,0,0,0,0,0,0.0,0,0,0,0,0,0
3.0,2026-05-16T18:17:24,0016c001f10c2ef6,6.7,2.8,3.9,0.0,7809,700,7109,9.0,0.18,0.29,0.42,313706972,1264407799,3138,11591,1.3,234.2,3.1,2.0,25,12,0,0,0,0,0,0.0,0,0,0,0,0,0
3.5,2026-05-16T18:17:25,0016c001f10c2ef6,6.2,2.3,4.0,0.0,7809,700,7109,9.0,0.25,0.3,0.42,313710162,1264419390,3190,11591,1.3,234.2,3.1,2.0,25,12,0,0,0,0,0,0.0,0,0,0,0,0,0
4.0,2026-05-16T18:17:25,0016c001f10c2ef6,7.0,2.9,4.1,0.0,7809,699,7110,9.0,0.25,0.3,0.42,313714177,1264461740,4015,42350,1.3,234.2,3.1,2.0,25,12,0,0,0,0,0,0.0,0,0,0,0,0,0
4.5,2026-05-16T18:17:26,0016c001f10c2ef6,6.0,2.4,3.6,0.0,7809,700,7109,9.0,0.25,0.3,0.42,313717215,1264473331,3038,11591,1.3,234.2,3.1,2.0,25,12,0,0,0,0,0,0.0,0,0,0,0,0,0
5.0,2026-05-16T18:17:26,0016c001f10c2ef6,6.4,2.9,3.5,0.0,7809,700,7109,9.0,0.25,0.3,0.42,313720353,1264484922,3138,11591,1.3,234.2,3.1,2.0,25,12,0,0,0,0,0,0.0,0,0,0,0,0,0
